sensor_id,sensor_name,lat,lon,timestamp,p1,p2
10430,SDS011,59.958,17.726,2018-12-31 12:00:01,2.8,1.48
11376,SDS011,59.124,15.126,2018-12-31 12:16:58,2.55,1.77
17538,SDS011,55.612,12.972,2018-12-31 12:33:37,14.46,3.14
10430,SDS011,59.958,17.726,2018-12-31 12:51:11,2.22,1.2
16723,SDS011,57.736,11.894,2018-12-31 13:08:17,299.87,17.2
14264,SDS011,57.654,11.88,2018-12-31 13:25:20,23.05,6.52
12663,SDS011,58.49,15.528,2018-12-31 13:42:50,2.22,1.1
16531,SDS011,57.698,11.958,2018-12-31 14:00:22,3.88,2.85
11767,SDS011,57.652,12.514,2018-12-31 14:17:56,16.42,4.55
14835,SDS011,56.098,12.65,2018-12-31 14:35:36,42.52,10.18
17927,SDS011,58.396,15.544,2018-12-31 14:52:40,1.4,0.97
18826,SDS011,63.404,13.016,2018-12-31 15:10:05,0.58,0.3
11552,SDS011,57.698,11.992,2018-12-31 15:27:15,0.25,0.25
9436,SDS011,59.334,18.034,2018-12-31 15:44:39,2.3,1.44
13000,SDS011,58.052,11.752,2018-12-31 16:01:24,4.32,1.88
17538,SDS011,55.612,12.972,2018-12-31 16:18:46,25.6,10.4
14276,SDS011,57.346,12.15,2018-12-31 16:35:56,76.46,20.66
13307,SDS011,66.318,14.18,2018-12-31 16:52:35,6.24,3.75
9797,SDS011,57.492,12.652,2018-12-31 17:09:40,7.95,4.55
17351,SDS011,58.674,16.368,2018-12-31 17:26:50,6.95,3.58
10430,SDS011,59.958,17.726,2018-12-31 17:43:34,2.5,1.78
14811,SDS011,57.706,11.9,2018-12-31 18:00:34,22.23,4.8
14278,SDS011,59.374,18.01,2018-12-31 18:18:00,4.0,2.7
10430,SDS011,59.958,17.726,2018-12-31 18:34:44,2.45,1.55
10926,SDS011,59.472,18.304,2018-12-31 18:52:08,2.28,2.06
17923,SDS011,55.73,13.2,2018-12-31 19:09:19,21.76,12.55
16723,SDS011,57.736,11.894,2018-12-31 19:26:29,46.67,7.2
14797,SDS011,63.708,20.368,2018-12-31 19:43:32,2.99,1.1
7597,SDS011,59.32,18.064,2018-12-31 20:00:50,8.16,4.65
17020,SDS011,55.728,13.194,2018-12-31 20:18:16,17.98,8.9
18820,SDS011,59.332,18.034,2018-12-31 20:35:35,18.66,8.52
11004,SDS011,59.622,16.556,2018-12-31 20:52:30,10.92,3.98
11058,SDS011,59.272,15.22,2018-12-31 21:10:08,11.42,6.72
16533,SDS011,55.722,13.202,2018-12-31 21:27:38,18.45,10.45
11006,SDS011,57.652,11.968,2018-12-31 21:45:00,18.35,5.04
