sensor_id,sensor_name,lat,lon,timestamp,p1,p2
10430,SDS011,59.958,17.726,2018-12-31 12:00:01,2.8,1.48
19597,SDS011,59.308,18.108,2018-12-31 12:00:08,6.34,1.36
7469,SDS011,56.944,24.142,2018-12-31 12:00:20,7.6,5.24
19599,SDS011,57.722,12.012,2018-12-31 12:00:28,93.25,10.75
12133,SDS011,55.732,13.172,2018-12-31 12:00:39,0.04,0.04
12391,SDS011,59.86,17.64,2018-12-31 12:00:45,3.42,2.1
12679,SDS011,59.384,17.874,2018-12-31 12:00:57,0.42,0.42
15551,SDS011,57.712,11.996,2018-12-31 12:01:03,37.22,10.24
17235,SDS011,59.272,17.78,2018-12-31 12:01:08,8.03,2.06
13428,SDS011,57.708,11.962,2018-12-31 12:01:14,167.8,20.16
13020,SDS011,57.722,11.948,2018-12-31 12:01:20,42.55,9.75
15067,SDS011,60.024,18.77,2018-12-31 12:01:31,0.58,0.46
10723,SDS011,59.298,18.052,2018-12-31 12:01:41,4.14,2.35
16296,SDS011,56.144,13.394,2018-12-31 12:01:49,22.8,10.82
19207,SDS011,59.466,18.036,2018-12-31 12:02:23,11.47,5.33
12383,SDS011,63.808,20.336,2018-12-31 12:02:38,1.86,0.76
14133,SDS011,59.364,18.018,2018-12-31 12:02:49,10.15,3.3
19599,SDS011,57.722,12.012,2018-12-31 12:02:56,124.64,12.1
11380,SDS011,55.606,12.998,2018-12-31 12:03:08,10.02,3.84
12391,SDS011,59.86,17.64,2018-12-31 12:03:14,2.28,1.5
14837,SDS011,59.296,18.106,2018-12-31 12:03:26,1.96,1.06
11378,SDS011,59.392,16.748,2018-12-31 12:03:33,3.68,2.58
14803,SDS011,57.676,11.994,2018-12-31 12:03:38,55.6,10.07
7597,SDS011,59.32,18.064,2018-12-31 12:03:46,1.96,1.55
17536,SDS011,59.288,17.964,2018-12-31 12:03:50,5.56,1.82
14811,SDS011,57.706,11.9,2018-12-31 12:04:02,80.25,11.05
17923,SDS011,55.73,13.2,2018-12-31 12:04:13,38.24,16.04
13419,SDS011,58.44,15.47,2018-12-31 12:04:20,2.74,1.9
11376,SDS011,59.124,15.126,2018-12-31 12:04:34,3.1,1.95
13441,SDS011,55.662,13.114,2018-12-31 12:04:45,7.38,2.72
19119,SDS011,56.972,24.132,2018-12-31 12:04:52,19.5,10.59
13475,SDS011,63.824,20.288,2018-12-31 12:04:58,3.43,0.38
11380,SDS011,55.606,12.998,2018-12-31 12:05:37,9.65,3.64
19547,SDS011,58.014,11.826,2018-12-31 12:05:45,6.61,3.34
13012,SDS011,57.662,12.006,2018-12-31 12:05:55,7.73,2.85
11384,SDS011,56.748,13.882,2018-12-31 12:06:01,5.85,3.8
12129,SDS011,59.34,18.04,2018-12-31 12:06:06,1.9,0.75
11543,SDS011,58.186,16.01,2018-12-31 12:06:13,3.0,1.2
18243,SDS011,55.674,13.072,2018-12-31 12:06:20,12.66,4.9
17538,SDS011,55.612,12.972,2018-12-31 12:06:31,16.8,2.78
17662,SDS011,56.892,15.09,2018-12-31 12:06:42,2.28,2.14
12137,SDS011,59.334,18.032,2018-12-31 12:06:49,6.27,3.28
11376,SDS011,59.124,15.126,2018-12-31 12:07:03,3.38,2.05
13441,SDS011,55.662,13.114,2018-12-31 12:07:13,7.47,3.08
13018,SDS011,57.652,11.918,2018-12-31 12:07:20,886.02,31.55
14290,SDS011,57.73,11.93,2018-12-31 12:07:27,53.53,11.17
15837,SDS011,59.846,17.638,2018-12-31 12:07:33,3.08,1.38
7469,SDS011,56.944,24.142,2018-12-31 12:07:45,12.4,7.34
10588,SDS011,55.676,13.346,2018-12-31 12:07:53,24.19,12.68
19207,SDS011,59.466,18.036,2018-12-31 12:08:12,10.73,5.3
10914,SDS011,61.45,23.858,2018-12-31 12:08:38,8.0,2.34
9797,SDS011,57.492,12.652,2018-12-31 12:08:44,10.33,6.8
12141,SDS011,59.284,18.022,2018-12-31 12:08:53,2.44,1.54
17923,SDS011,55.73,13.2,2018-12-31 12:09:10,36.06,14.65
14294,SDS011,59.37,18.016,2018-12-31 12:09:17,4.8,2.34
11376,SDS011,59.124,15.126,2018-12-31 12:09:32,3.98,2.01
13441,SDS011,55.662,13.114,2018-12-31 12:09:40,6.3,3.28
13018,SDS011,57.652,11.918,2018-12-31 12:09:48,849.05,30.3
16531,SDS011,57.698,11.958,2018-12-31 12:09:56,7.3,4.15
15837,SDS011,59.846,17.638,2018-12-31 12:10:01,3.53,1.45
18834,SDS011,59.262,18.036,2018-12-31 12:10:10,1.95,1.28
17650,SDS011,59.304,18.102,2018-12-31 12:10:20,2.2,2.0
17532,SDS011,59.32,13.484,2018-12-31 12:10:26,16.5,5.76
18243,SDS011,55.674,13.072,2018-12-31 12:10:36,13.14,5.04
18590,SDS011,63.39,12.906,2018-12-31 12:10:46,1.05,0.48
16159,SDS011,57.818,15.224,2018-12-31 12:10:54,1.62,0.82
16705,SDS011,60.136,15.18,2018-12-31 12:11:00,0.57,0.57
17662,SDS011,56.892,15.09,2018-12-31 12:11:39,2.7,2.48
13419,SDS011,58.44,15.47,2018-12-31 12:11:55,1.87,1.18
13441,SDS011,55.662,13.114,2018-12-31 12:12:08,6.46,3.58
18986,SDS011,59.236,18.142,2018-12-31 12:12:13,3.42,1.16
11767,SDS011,57.652,12.514,2018-12-31 12:12:23,11.4,3.5
15837,SDS011,59.846,17.638,2018-12-31 12:12:28,2.0,1.4
13010,SDS011,57.632,11.962,2018-12-31 12:12:33,53.38,3.55
18243,SDS011,55.674,13.072,2018-12-31 12:12:45,12.56,5.48
11550,SDS011,59.27,18.078,2018-12-31 12:12:54,1.0,0.72
15561,SDS011,59.214,16.222,2018-12-31 12:13:06,3.03,2.28
18590,SDS011,63.39,12.906,2018-12-31 12:13:15,1.0,0.44
11552,SDS011,57.698,11.992,2018-12-31 12:13:22,0.2,0.2
14209,SDS011,56.07,12.698,2018-12-31 12:13:28,9.3,5.25
17351,SDS011,58.674,16.368,2018-12-31 12:13:32,1.98,1.45
9797,SDS011,57.492,12.652,2018-12-31 12:13:40,11.55,7.7
12124,SDS011,57.908,16.49,2018-12-31 12:13:48,0.1,0.1
10723,SDS011,59.298,18.052,2018-12-31 12:13:59,4.92,2.32
15071,SDS011,56.696,13.002,2018-12-31 12:14:37,3.14,2.34
13018,SDS011,57.652,11.918,2018-12-31 12:14:45,793.82,29.94
14290,SDS011,57.73,11.93,2018-12-31 12:14:52,47.68,12.18
17712,SDS011,64.6,21.088,2018-12-31 12:14:57,9.95,3.75
17020,SDS011,55.728,13.194,2018-12-31 12:15:05,20.12,9.45
12994,SDS011,57.748,11.952,2018-12-31 12:15:17,56.02,14.48
11546,SDS011,59.456,17.802,2018-12-31 12:15:27,2.5,0.95
8683,SDS011,59.744,18.206,2018-12-31 12:15:36,3.5,3.3
16537,SDS011,57.562,11.936,2018-12-31 12:15:45,237.04,18.38
11002,SDS011,55.796,13.09,2018-12-31 12:15:52,6.03,1.62
10250,SDS011,58.692,12.478,2018-12-31 12:15:59,11.85,4.98
13000,SDS011,58.052,11.752,2018-12-31 12:16:04,1.74,1.55
15067,SDS011,60.024,18.77,2018-12-31 12:16:10,2.68,1.2
14811,SDS011,57.706,11.9,2018-12-31 12:16:19,66.37,9.62
14264,SDS011,57.654,11.88,2018-12-31 12:16:31,75.53,11.22
12389,SDS011,59.924,10.744,2018-12-31 12:16:38,1.44,1.24
11376,SDS011,59.124,15.126,2018-12-31 12:16:58,2.55,1.77
14722,SDS011,55.594,12.986,2018-12-31 12:17:36,14.54,4.38
12381,SDS011,63.392,13.1,2018-12-31 12:17:48,0.44,0.35
17532,SDS011,59.32,13.484,2018-12-31 12:17:56,16.69,6.55
14837,SDS011,59.296,18.106,2018-12-31 12:18:11,1.04,0.84
11384,SDS011,56.748,13.882,2018-12-31 12:18:18,7.48,4.7
14799,SDS011,57.75,11.97,2018-12-31 12:18:25,211.73,16.15
9743,SDS011,57.664,12.054,2018-12-31 12:18:29,315.72,27.58
13762,SDS011,60.45,23.238,2018-12-31 12:18:36,7.72,5.65
17925,SDS011,55.674,13.354,2018-12-31 12:18:43,28.34,13.45
10723,SDS011,59.298,18.052,2018-12-31 12:18:54,3.7,2.26
10924,SDS011,59.86,17.652,2018-12-31 12:19:06,1.9,1.15
10926,SDS011,59.472,18.304,2018-12-31 12:19:20,2.2,1.56
13483,SDS011,57.786,12.08,2018-12-31 12:19:30,577.82,34.02
19301,SDS011,59.362,12.152,2018-12-31 12:19:36,220.72,10.05
18112,SDS011,57.478,11.978,2018-12-31 12:19:43,187.26,14.72
12383,SDS011,63.808,20.336,2018-12-31 12:19:51,0.57,0.49
14278,SDS011,59.374,18.01,2018-12-31 12:19:58,3.68,2.15
18820,SDS011,59.332,18.034,2018-12-31 12:20:38,4.35,2.05
15551,SDS011,57.712,11.996,2018-12-31 12:20:43,29.75,8.8
14801,SDS011,57.716,12.048,2018-12-31 12:20:52,384.12,22.42
10250,SDS011,58.692,12.478,2018-12-31 12:20:57,12.05,4.62
15067,SDS011,60.024,18.77,2018-12-31 12:21:04,1.92,1.3
11546,SDS011,59.456,17.802,2018-12-31 12:21:13,1.32,0.75
17536,SDS011,59.288,17.964,2018-12-31 12:21:20,3.02,1.38
18838,SDS011,56.92,14.804,2018-12-31 12:21:33,6.94,3.86
18836,SDS011,63.404,13.03,2018-12-31 12:21:48,0.2,0.2
13483,SDS011,57.786,12.08,2018-12-31 12:21:57,532.83,29.55
18986,SDS011,59.236,18.142,2018-12-31 12:22:05,4.38,1.35
10721,SDS011,59.45,18.124,2018-12-31 12:22:12,2.82,1.3
14290,SDS011,57.73,11.93,2018-12-31 12:22:20,49.46,12.72
12131,SDS011,59.45,17.916,2018-12-31 12:22:26,2.78,0.95
14296,SDS011,59.338,18.062,2018-12-31 12:22:35,5.08,2.26
12381,SDS011,63.392,13.1,2018-12-31 12:22:44,0.5,0.3
11771,SDS011,55.748,13.194,2018-12-31 12:22:56,11.45,4.99
7275,SDS011,57.72,11.888,2018-12-31 12:23:38,409.68,29.68
18826,SDS011,63.404,13.016,2018-12-31 12:23:45,0.2,0.15
14975,SDS011,60.468,25.126,2018-12-31 12:23:54,2.92,1.74
14813,SDS011,57.914,12.06,2018-12-31 12:24:11,39.36,9.4
13423,SDS011,57.758,14.922,2018-12-31 12:24:24,4.7,3.06
14292,SDS011,59.42,17.842,2018-12-31 12:24:30,3.04,1.25
13018,SDS011,57.652,11.918,2018-12-31 12:24:38,614.18,24.37
16151,SDS011,55.658,13.358,2018-12-31 12:24:42,21.08,9.34
11374,SDS011,59.258,18.008,2018-12-31 12:24:52,3.48,1.66
10825,SDS011,55.898,14.094,2018-12-31 12:24:58,10.15,8.15
16149,SDS011,55.606,13.024,2018-12-31 12:25:09,8.86,3.07
13425,SDS011,57.918,12.53,2018-12-31 12:25:17,3.37,1.92
10803,SDS011,57.69,11.954,2018-12-31 12:25:29,21.96,5.28
18243,SDS011,55.674,13.072,2018-12-31 12:25:36,14.53,5.19
13428,SDS011,57.708,11.962,2018-12-31 12:25:41,67.98,14.72
11763,SDS011,56.522,14.95,2018-12-31 12:25:50,11.04,4.43
10250,SDS011,58.692,12.478,2018-12-31 12:25:55,12.42,4.89
16446,SDS011,55.66,12.592,2018-12-31 12:26:04,2.06,1.62
12124,SDS011,57.908,16.49,2018-12-31 12:26:11,0.1,0.1
14975,SDS011,60.468,25.126,2018-12-31 12:26:21,1.96,1.46
14813,SDS011,57.914,12.06,2018-12-31 12:26:38,37.25,9.45
13483,SDS011,57.786,12.08,2018-12-31 12:26:51,654.3,36.9
11661,SDS011,59.446,14.888,2018-12-31 12:26:56,2.72,1.27
14294,SDS011,59.37,18.016,2018-12-31 12:27:06,3.83,1.85
11232,SDS011,55.596,13.022,2018-12-31 12:27:12,14.62,5.62
11374,SDS011,59.258,18.008,2018-12-31 12:27:20,1.78,1.38
10825,SDS011,55.898,14.094,2018-12-31 12:27:25,10.78,8.5
13477,SDS011,62.382,17.344,2018-12-31 12:27:31,0.38,0.2
17650,SDS011,59.304,18.102,2018-12-31 12:27:44,1.9,1.75
16535,SDS011,55.718,13.218,2018-12-31 12:27:53,18.58,6.78
17038,SDS011,55.75,13.202,2018-12-31 12:28:02,22.52,8.32
11380,SDS011,55.606,12.998,2018-12-31 12:28:08,8.18,2.88
11763,SDS011,56.522,14.95,2018-12-31 12:28:17,12.26,4.7
12391,SDS011,59.86,17.64,2018-12-31 12:28:22,3.45,1.32
10843,SDS011,59.354,18.364,2018-12-31 12:28:29,4.55,1.28
14276,SDS011,57.346,12.15,2018-12-31 12:28:38,439.52,54.32
14975,SDS011,60.468,25.126,2018-12-31 12:28:47,2.03,1.57
